region,season,range,volatility_index
Center,Summer,2159.63,1.61582045642385
Center,Winter,1168.65,0.925445793221711
Middle Volga,Summer,1800.74,1.43656108247163
Middle Volga,Winter,951.2,0.792877166385202
Northwest,Summer,1966.93,1.76386535753444
Northwest,Winter,2340.56,2.08394661092145
Siberia,Summer,1219.56,1.52527132429874
Siberia,Winter,504.72,0.524910014906792
South,Summer,2924.19,2.04879270807018
South,Winter,4183.55,2.62192237430504
Urals,Summer,1509.75,1.44186056972889
Urals,Winter,768.3,0.728034408309436
