month,region,range,volatility_index
2019-07,Northwest,6707,6.39406058074379
2019-07,Center,6845,5.3471677549619
2018-08,Northwest,3247,3.47679562940938
2017-09,Northwest,3170,3.07195761925976
2018-03,Northwest,2588,2.89145944614719
2019-09,Northwest,3060,2.86213503945958
2017-05,Northwest,2485,2.76059164494136
2018-08,Center,3493,2.67930788113602
2019-09,Center,3207,2.61536161363544
2018-10,Center,3066,2.30208288129726
2018-11,Center,2862,2.2318979971146
2019-09,Siberia,1272,2.11165602584233
2018-11,Northwest,2208,2.0670340214952
2018-06,Center,2347,2.0157337548087
2018-07,Center,2568,2.00453240670796
2017-11,Center,2217,1.96574018201298
2018-06,Northwest,1785,1.94889976328723
2017-05,Center,2105,1.92622839923744
2018-07,Siberia,1105,1.84406676252022
2017-05,Siberia,1071,1.84066528066528
2019-08,Siberia,1188,1.83827875586244
2017-06,Northwest,1637,1.82697211272714
2018-10,Siberia,1369,1.82307572522199
2018-09,Siberia,1286,1.81117194514374
2017-04,Siberia,1527,1.80604973437546
2018-05,Center,2091,1.7827373892596
2017-11,Northwest,1517,1.78198631500292
2017-07,Northwest,1498,1.76868204850691
2017-01,Northwest,1430,1.74531281014851
2018-08,Siberia,999,1.74366409312604
2017-10,Siberia,1400,1.73789430479222
2017-12,Siberia,1502,1.72737882326754
2017-07,Siberia,1126,1.7240049472248
2018-05,Siberia,1199,1.71961939423848
2019-02,Center,2052,1.71696024683395
2018-05,Northwest,1578,1.70479900909443
2018-04,Center,2069,1.69602714226349
2018-10,Northwest,1911,1.6953226073778
2018-07,Northwest,1677,1.69170693610582
2018-06,Siberia,1065,1.683798163808
2017-06,Center,1930,1.67912679606512
2019-08,Center,2110,1.67592075609878
2019-06,Center,2239,1.67431252213524
2019-06,Northwest,1804,1.65491091450239
2017-03,Northwest,1358,1.65025749748056
2017-12,Center,1722,1.64338058448447
2017-07,Center,1908,1.64067950190818
2017-10,Northwest,1495,1.63920123793383
2018-04,Northwest,1676,1.62519679949145
2017-12,Northwest,1330,1.62248843211265
2017-06,Siberia,1094,1.62174849392009
2017-01,Center,1694,1.61902645374865
2017-04,Northwest,1512,1.61105051847401
2018-12,Northwest,1793,1.60585140127626
2019-01,Northwest,1771,1.60430143661262
2018-03,Siberia,1377,1.60397044088176
2019-08,Northwest,1643,1.59413255225891
2017-03,Siberia,1053,1.58406696726449
2017-08,Northwest,1597,1.5662910121054
2017-03,Center,1579,1.56578970167018
2018-12,Center,1949,1.56109513592307
2019-01,Siberia,1412,1.55553811596113
2017-08,Siberia,1353,1.55440155280798
2017-02,Center,1591,1.55295942689564
2018-02,Northwest,1356,1.53390566609433
2019-02,Northwest,1625,1.53261437064566
2017-04,Center,1705,1.53168935004267
2017-02,Northwest,1216,1.52169549032497
2019-01,Center,1828,1.50976271750895
2017-10,Center,1858,1.49282395858306
2019-07,Siberia,1162,1.4865185985051
2019-05,Center,1954,1.48309833722528
2018-02,Center,1647,1.4795094074792
2018-01,Siberia,1335,1.46707413802526
2018-03,Center,1621,1.46033737238952
2017-11,Siberia,1202,1.45994611910815
2019-05,Northwest,1659,1.45693281774529
2017-08,Center,1903,1.45317869239454
2019-04,Center,1921,1.43674358066101
2017-02,Siberia,1170,1.43664257157266
2017-01,Siberia,1235,1.4359567418891
2017-09,Center,1934,1.43208576388603
2018-11,Siberia,1191,1.39976983913224
2019-04,Siberia,1291,1.3974991392673
2018-12,Siberia,1211,1.38075490782033
2019-02,Siberia,1217,1.37367683764617
2019-05,Siberia,1330,1.36846414267696
2018-04,Siberia,1047,1.36817536689039
2018-01,Northwest,1256,1.33075479275312
2018-02,Siberia,1249,1.31481716458242
2018-09,Northwest,1526,1.29577192376231
2019-06,Siberia,1285,1.26450794622698
2019-03,Siberia,1157,1.24840542633635
2018-01,Center,1461,1.23842618438352
2019-04,Northwest,1413,1.08487271385597
2019-03,Northwest,1103,0.93969297994499
2019-03,Center,1182,0.922144800792739
2018-09,Center,1242,0.881782181342
2017-09,Siberia,789,0.831722829333427
